transaction_id,account_id,timestamp,amount,currency,mcc,mcc_desc,geo,device,hist_mean,hist_std,merchant_age_days,minutes_since_prev_txn,prior_outcome,is_anomaly,anomaly_type
T0029,A1011,2025-09-09 21:44:54.582453,1547.08,USD,4829,Wire Transfer,NG,known,74.08,64.21,140,220.0,declined,False,
T0030,A1011,2025-09-09 22:04:04.447800,300.0,USD,6211,Securities,DE,known,74.08,64.21,313,19.0,approved,False,
T0031,A1010,2025-09-09 22:43:22.611511,25.5,USD,4111,Transport,IN,known,105.86,75.13,306,39.0,approved,False,
T0032,A1000,2025-09-10 10:30:30.886698,3.35,USD,5812,Betting,US,new,248.0,76.55,25,7.0,approved,True,card_testing_burst
T0033,A1001,2025-09-09 23:34:40.933180,61.16,USD,5812,Restaurant,BR,new,137.31,56.32,79,43.0,approved,False,
T0034,A1010,2025-09-10 10:31:00.886698,4.23,USD,5812,Transport,US,new,105.86,75.13,172,213.0,declined,True,card_testing_burst
T0035,A1004,2025-09-10 03:55:13.075265,50.97,USD,5812,Restaurant,US,new,86.89,39.56,76,46.0,approved,False,
T0036,A1011,2025-09-10 04:09:37.667116,2246.2,USD,4829,Wire Transfer,DE,known,74.08,64.21,28,14.0,approved,False,
T0037,A1011,2025-09-10 04:31:57.449356,17.98,USD,4111,Transport,UA,known,74.08,64.21,198,22.0,approved,False,
T0038,A1004,2025-09-10 05:31:01.971506,2505.01,USD,4829,Wire Transfer,US,known,86.89,39.56,114,59.0,approved,False,
T0039,A1011,2025-09-10 07:27:44.239933,141.75,USD,7995,Betting,CN,new,74.08,64.21,159,116.0,declined,False,
T0040,A1006,2025-09-10 08:03:59.025004,16.02,USD,5812,Restaurant,US,new,133.94,44.46,820,36.0,approved,False,
T0041,A1000,2025-09-10 08:44:23.913414,66.41,USD,5812,Restaurant,IN,known,248.0,76.55,92,40.0,approved,False,
T0042,A1009,2025-09-10 10:23:50.351453,94.98,USD,5411,Grocery,NG,known,160.58,24.71,5,99.0,approved,False,
T0043,A1010,2025-09-10 10:31:30.886698,2.88,USD,5812,Dept Store,GB,new,105.86,75.13,237,6.0,approved,True,card_testing_burst
T0044,A1007,2025-09-10 13:31:46.342735,50.8,USD,5732,Fuel,US,new,99.36,30.16,50,181.0,approved,False,
T0045,A1010,2025-09-10 14:09:16.520902,2794.87,USD,4829,Wire Transfer,US,known,105.86,75.13,547,37.0,declined,False,
T0046,A1004,2025-09-10 10:32:00.886698,3276.97,USD,4829,Wire Transfer,BR,new,86.89,39.56,114,24.0,declined,True,new_device_new_geo_high_wire
T0047,A1007,2025-09-10 16:03:54.243407,123.0,USD,5411,Grocery,MX,known,99.36,30.16,19,90.0,approved,False,
T0048,A1004,2025-09-10 16:30:41.102302,386.5,USD,5411,Grocery,US,new,86.89,39.56,116,17.0,approved,True,declines_then_approval
T0049,A1004,2025-09-10 16:31:11.110068,343.02,USD,5812,Securities,MX,known,86.89,39.56,11,9.0,declined,True,new_merchant_short_history
T0050,A1004,2025-09-10 10:32:30.886698,1.11,USD,5812,Grocery,BR,new,86.89,39.56,388,17.0,approved,True,card_testing_burst
