transaction_id,account_id,timestamp,amount,currency,mcc,mcc_desc,geo,device,hist_mean,hist_std,merchant_age_days,minutes_since_prev_txn,prior_outcome,is_anomaly,anomaly_type
T0021,A1007,2025-09-09 21:41:04.112263,66.28,USD,5812,Restaurant,IN,known,134.44,36.5,252,23.0,approved,False,
T0022,A1013,2025-09-09 22:02:23.684384,67.38,USD,5732,Fuel,US,known,131.32,55.8,69,21.0,approved,False,
T0023,A1014,2025-09-09 23:00:44.349024,53.37,USD,5732,Fuel,CN,new,99.37,64.39,23,58.0,approved,False,
T0024,A1004,2025-09-10 01:29:04.431177,4.19,USD,5812,Grocery,BR,new,255.67,85.47,183,57.0,approved,True,card_testing_burst
T0025,A1000,2025-09-10 00:27:46.632472,36.65,USD,5411,Grocery,US,known,160.76,73.43,109,29.0,approved,False,
T0026,A1015,2025-09-10 01:29:34.431177,157.56,USD,7995,Transport,IN,new,54.38,29.48,173,9.0,approved,True,betting_high_zscore
T0027,A1010,2025-09-10 01:06:20.784789,31.03,USD,5411,Grocery,CN,new,71.3,54.38,77,28.0,approved,False,
T0028,A1001,2025-09-10 01:30:04.431177,1.76,USD,5812,Fuel,US,new,128.97,67.48,240,22.0,approved,True,card_testing_burst
T0029,A1001,2025-09-10 02:20:27.872216,368.55,USD,5311,Restaurant,US,new,128.97,67.48,2,51.0,approved,True,new_merchant_short_history
T0030,A1002,2025-09-10 03:32:53.200439,10.0,USD,5732,Fuel,MX,known,58.89,31.15,29,72.0,approved,False,
T0031,A1008,2025-09-10 06:22:15.080636,90.49,USD,5411,Grocery,MX,new,105.12,24.69,52,169.0,approved,False,
T0032,A1008,2025-09-10 07:40:48.985040,52.81,USD,5732,Fuel,DE,known,105.12,24.69,64,78.0,declined,False,
T0033,A1004,2025-09-10 09:11:07.532578,60.65,USD,5311,Dept Store,BR,known,255.67,85.47,211,90.0,declined,False,
T0034,A1014,2025-09-10 09:28:17.715312,153.11,USD,5411,Grocery,CA,known,99.37,64.39,23,17.0,approved,False,
T0035,A1013,2025-09-10 10:39:06.435006,733.7,USD,6211,Securities,BR,known,131.32,55.8,270,70.0,approved,False,
T0036,A1003,2025-09-10 10:42:51.656372,53.65,USD,5311,Dept Store,US,known,74.27,58.0,36,3.0,approved,False,
T0037,A1008,2025-09-10 11:27:38.104153,36.48,USD,5812,Restaurant,US,new,105.12,24.69,142,44.0,approved,False,
T0038,A1003,2025-09-09 01:43:49.946664,395.49,USD,5411,Restaurant,BR,new,74.27,58.0,108,165.0,approved,True,declines_then_approval
T0039,A1007,2025-09-10 14:20:28.042372,107.04,USD,5411,Grocery,US,new,134.44,36.5,38,7.0,declined,False,
T0040,A1010,2025-09-10 15:56:00.146408,5.0,USD,7995,Betting,BR,known,71.3,54.38,144,95.0,approved,False,
T0041,A1010,2025-09-10 16:06:38.693836,24.14,USD,5812,Restaurant,US,known,71.3,54.38,300,10.0,approved,False,
T0042,A1010,2025-09-10 16:10:21.033673,101.43,USD,5411,Grocery,UA,new,71.3,54.38,242,3.0,approved,False,
T0043,A1012,2025-09-10 17:51:00.015852,57.37,USD,5732,Fuel,CA,known,65.3,76.7,333,100.0,approved,False,
T0044,A1003,2025-09-10 01:30:34.431177,2.73,USD,5812,Restaurant,US,new,74.27,58.0,255,114.0,approved,True,card_testing_burst
T0045,A1008,2025-09-10 20:45:07.269224,104.42,USD,5411,Grocery,GB,known,105.12,24.69,301,60.0,approved,False,
T0046,A1008,2025-09-10 01:31:04.431177,1.38,USD,5812,Restaurant,US,new,105.12,24.69,6,12.0,approved,True,card_testing_burst
T0047,A1012,2025-09-10 22:30:00.374223,23.15,USD,5812,Restaurant,US,new,65.3,76.7,8,92.0,approved,False,
T0048,A1002,2025-09-11 00:31:26.104906,26.64,USD,5311,Dept Store,GB,known,58.89,31.15,201,121.0,approved,False,
T0049,A1013,2025-09-11 02:08:28.067457,157.96,USD,5411,Grocery,US,known,131.32,55.8,518,97.0,approved,False,
T0050,A1002,2025-09-11 03:11:44.462883,18.36,USD,5812,Restaurant,GB,known,58.89,31.15,121,63.0,approved,False,
